Airline,Travel Date,Return Date,Departure,Arrival,Price,Total Travel Time,Stops,Layover City,Layover Time,Collection Date
United,2024-07-04,2024-07-12,7:58pm,4:05am,"$1,297",19 hours 7 minutes,One,San Francisco,1 hour 58 minutes,2024-07-03
United,2024-07-04,2024-07-12,7:58pm,6:45pm,"$1,348",33 hours 47 minutes,One,San Francisco,16 hours 43 minutes,2024-07-03
United,2024-07-04,2024-07-12,6:00am,4:05am,"$1,308",33 hours 5 minutes,One,San Francisco,16 hours 1 minute,2024-07-03
United,2024-07-04,2024-07-12,6:00am,6:45pm,"$1,630",23 hours 45 minutes,One,San Francisco,6 hours 46 minutes,2024-07-03
multipleAirlines,2024-07-04,2024-07-12,7:45pm,4:10am,"$2,167",19 hours 25 minutes,One,Seattle,3 hours 10 minutes,2024-07-03
multipleAirlines,2024-07-04,2024-07-12,5:45pm,4:10am,"$2,167",21 hours 25 minutes,One,Seattle,5 hours 10 minutes,2024-07-03
multipleAirlines,2024-07-04,2024-07-12,3:59pm,4:10am,"$2,167",23 hours 11 minutes,One,Seattle,6 hours 59 minutes,2024-07-03
multipleAirlines,2024-07-04,2024-07-12,7:58pm,4:50am,"$2,422",19 hours 52 minutes,One,San Francisco,3 hours 13 minutes,2024-07-03
Turkish Airlines,2024-07-04,2024-07-12,8:40pm,5:55pm,"$2,411",32 hours 15 minutes,One,Istanbul,8 hours 55 minutes,2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,8:55am,"$2,074",25 hours 25 minutes,Two,"Los Angeles, Hong Kong","4 hours 31 minutes, 1 hour 20 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,9:00am,"$2,074",25 hours 30 minutes,Two,"Los Angeles, Hong Kong","4 hours 31 minutes, 1 hour 15 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,9:55am,"$2,074",26 hours 25 minutes,Two,"Los Angeles, Hong Kong","5 hours 31 minutes, 1 hour 15 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,9:55am,"$2,074",26 hours 25 minutes,Two,"Los Angeles, Hong Kong","4 hours 31 minutes, 2 hours 15 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,10:05am,"$2,074",26 hours 35 minutes,Two,"Los Angeles, Hong Kong","5 hours 31 minutes, 1 hour 25 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,10:05am,"$2,074",26 hours 35 minutes,Two,"Los Angeles, Hong Kong","4 hours 31 minutes, 2 hours 25 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,10:40am,"$2,074",27 hours 10 minutes,Two,"Los Angeles, Hong Kong","5 hours 31 minutes, 1 hour 50 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,10:40am,"$2,074",27 hours 10 minutes,Two,"Los Angeles, Hong Kong","4 hours 31 minutes, 2 hours 50 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,11:00am,"$2,074",27 hours 30 minutes,Two,"Los Angeles, Hong Kong","5 hours 31 minutes, 2 hours 15 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,11:00am,"$2,074",27 hours 30 minutes,Two,"Los Angeles, Hong Kong","4 hours 31 minutes, 3 hours 15 minutes",2024-07-03
Asiana Airlines,2024-07-04,2024-07-12,7:58pm,11:30am,"$2,073",26 hours 32 minutes,Two,"San Francisco, Seoul","1 hour 43 minutes, 6 hours 0 minutes",2024-07-03
Japan Airlines,2024-07-04,2024-07-12,12:05pm,8:55pm,"$3,536",19 hours 50 minutes,One,Tokyo,3 hours 10 minutes,2024-07-03
multipleAirlines,2024-07-04,2024-07-12,7:58pm,3:50pm,"$1,925",30 hours 52 minutes,Two,"San Francisco, Tokyo","3 hours 58 minutes, 8 hours 50 minutes",2024-07-03
multipleAirlines,2024-07-04,2024-07-12,3:59pm,4:40am,"$2,086",23 hours 41 minutes,Two,"Seattle, San Francisco","1 hour 48 minutes, 2 hours 40 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,11:50am,"$2,074",28 hours 20 minutes,Two,"Los Angeles, Hong Kong","4 hours 31 minutes, 4 hours 10 minutes",2024-07-03
Cathay Pacific,2024-07-04,2024-07-12,6:30pm,11:50am,"$2,074",28 hours 20 minutes,Two,"Los Angeles, Hong Kong","5 hours 31 minutes, 3 hours 10 minutes",2024-07-03
United,2024-07-05,2024-07-13,7:58pm,4:05am,"$1,348",19 hours 7 minutes,One,San Francisco,1 hour 58 minutes,2024-07-03
United,2024-07-05,2024-07-13,6:00am,6:45pm,"$1,348",23 hours 45 minutes,One,San Francisco,6 hours 46 minutes,2024-07-03
United,2024-07-05,2024-07-13,6:00am,4:05am,"$1,360",33 hours 5 minutes,One,San Francisco,16 hours 1 minute,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,7:45pm,5:10am,"$2,502",20 hours 25 minutes,One,Seattle,4 hours 10 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,7:58pm,5:15am,"$2,598",20 hours 17 minutes,One,San Francisco,3 hours 38 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,7:58pm,4:50am,"$2,548",19 hours 52 minutes,One,San Francisco,3 hours 13 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,5:45pm,5:10am,"$2,502",22 hours 25 minutes,One,Seattle,6 hours 10 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,6:00am,5:00pm,"$2,698",22 hours 0 minutes,One,San Francisco,5 hours 16 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,3:59pm,5:10am,"$2,502",24 hours 11 minutes,One,Seattle,7 hours 59 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,2:30pm,5:10am,"$2,502",25 hours 40 minutes,One,Seattle,9 hours 28 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,7:58pm,12:10pm,"$1,854",27 hours 12 minutes,Two,"San Francisco, Tokyo","3 hours 58 minutes, 5 hours 10 minutes",2024-07-03
China Airlines,2024-07-05,2024-07-13,6:20am,9:20pm,"$2,593",26 hours 0 minutes,One,Los Angeles,9 hours 15 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,12:53pm,5:10am,"$2,502",27 hours 17 minutes,One,Seattle,11 hours 8 minutes,2024-07-03
Turkish Airlines,2024-07-05,2024-07-13,8:40pm,5:55pm,"$2,421",32 hours 15 minutes,One,Istanbul,8 hours 55 minutes,2024-07-03
United,2024-07-05,2024-07-13,7:58pm,6:45pm,"$2,288",33 hours 47 minutes,One,San Francisco,16 hours 43 minutes,2024-07-03
multipleAirlines,2024-07-05,2024-07-13,9:45pm,9:55am,"$2,267",23 hours 10 minutes,Two,"Los Angeles, Hong Kong","2 hours 23 minutes, 1 hour 15 minutes",2024-07-03
Cathay Pacific,2024-07-05,2024-07-13,9:45pm,9:55am,"$2,289",23 hours 10 minutes,Two,"Los Angeles, Hong Kong","2 hours 23 minutes, 1 hour 15 minutes",2024-07-03
Japan Airlines,2024-07-05,2024-07-13,11:30am,8:50pm,"$3,365",20 hours 20 minutes,One,Tokyo,3 hours 40 minutes,2024-07-03
Cathay Pacific,2024-07-05,2024-07-13,9:45pm,10:05am,"$2,289",23 hours 20 minutes,Two,"Los Angeles, Hong Kong","2 hours 23 minutes, 1 hour 25 minutes",2024-07-03
multipleAirlines,2024-07-05,2024-07-13,3:59pm,5:10am,"$2,187",24 hours 11 minutes,Two,"Seattle, Los Angeles","1 hour 1 minutes, 2 hours 50 minutes",2024-07-03
